"Empresa compra","Empresa Vende","Año","Mes","Energía Punta","Energía Valle","Energía Noche","Potencia Compra Punta","Potencia Compra Valle","Potencia Compra Noche","Energía Peaje","Tipo","Importe kwh Punta","Importe kwh Valle","Importe kwh Noche","Importe kw Punta","Importe kw Valle","Importe kw Noche","Importe Peaje","Importe Ajustes","Importe Total","Costos CVG","Energía Fuera Punta","Energía kwh Fuera Punta","Planta","Importe kw Fuera Punta","Potencia Fuera Punta","Impuesto IVA"
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD","Central Hidroeléctrica Vara Blanca S. A.","2025","Enero     ","106842.75","277810.05","297854.55","","","","","523.29","13759387.26","35776840.174","23021159.765","","","","","","72557387.199","","","","VARA BLANCA","","","9432460.336"
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD","P. H. DON PEDRO S. A. ","2025","Enero     ","297582.02","928450.37","796784.28","","","","","523.29","9986429.73","31157482.001","26738957.296","","","","","","67882869.027","","","","DON PEDRO","","","8824772.973"
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD","P. H. RÍO VOLCÁN S.A. ","2025","Enero     ","523644.09","1247567.11","1357973.78","","","","","523.29","17572758.477","41866590.919","45571677.736","","","","","","105011027.133","","","","VOLCÁN 3","","","13651433.527"
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD","PLANTA EÓLICA GUANACASTE S. A. ","2025","Enero     ","3711980.65","9864084.36","9641728.49","","","","","523.29","209783774.164","557471883.652","544905372.577","","","","","","1312161030.393","","","","TILARÁN (P.E. Guanacaste)","","","170580933.951"
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD","Plantas Eólicas Limitada","2025","Enero     ","","","","","","","","523.29","","","","","","","","","","","","","TILARÁN (PESA)","","",""
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD","SUERKATA S. R. L. ","2025","Enero     ","302778.53","849860.03","824577.6","","","","","523.29","9593601.16","26927990.576","26126912.079","","","","","","62648503.815","","","","SUERKATA","","","8144305.496"
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD","TILAWIND CORPORATION","2025","Enero     ","1325097.49","3789228.26","3325320.59","","","","","523.29","87577714.975","250435882.254","219775515.287","","","","","","557789112.516","","","","TILAWIND","","","72512584.627"
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD","UNIÓN FENOSA GENERADORA TORITO S. A.  ","2025","Enero     ","15886578.96","","414407.51","","","","","523.29","845461379.713","","4402161.426","326094647.063","","","","265697158.91","1441655347.112","","","","TORITO","","","187415195.125"
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD","Inversiones Eólicas de Orosí Dos S. A. ","2025","Enero     ","4325338.59","11666340.58","11369743.79","","","","","523.29","296506244.894","799739198.54","779407194.688","","","","","","1875652638.122","","","","OROSÍ","","","243834842.956"
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD","El Ángel S.A.","2025","Enero     ","574144.358","1584392.901","654911.425","","","","","523.29","96292302.381","265725576.019","65902863.671","","","","","","427920742.071","","","","AMPLIACIÓN EL ÁNGEL","","","55629696.469"
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD","AEROENERGIA S.A.","2025","Enero     ","889199.72","2292844.74","2262837.49","","","","","523.29","56302427.899","145178549.603","143278547.847","","","","","","344759525.349","","","","VIENTOS DEL ESTE","","","44818738.295"
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD","FILA DE MOGOTE D.C.R. SRL","2025","Enero     ","1899243.283","5028374.625","4827075.072","","","","","523.29","120355842.614","318650206.894","305893769.827","","","","","","744899819.335","","","","P.E FILA DE MOGOTE","","","96836976.514"
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD","Inversiones Eólicas Guanacaste S.A. ","2025","Enero     ","1973577.79","5113029.78","4976880.43","","","","","523.29","125479552.113","325085079.365","316428737.691","","","","","","766993369.169","","","","P.E ALTAMIRA","","","99709137.992"
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD","INVERSIONES EÓLICAS CAMPOS AZULES S.A.","2025","Enero     ","1652584.99","4360685.65","4048082.77","","","","","523.29","105070917.673","277251239.89","257376031.577","","","","","","639698189.14","","","","P.E CAMPOS AZULES","","","83160764.588"
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD","P. H .CHUCÁS  S.A.","2025","Enero     ","15391269.455","","","","","","","523.29","675899853.233","","","318484211.19","","","","","994384064.422","","","","CHUCÁS","","","129269928.375"
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD","Costa Rica Energy Holding S.A.","2025","Enero     ","1382468.1","3732426.43","3524683.01","","","","","523.29","87896953.272","237306682.675","224098413.977","","","","","","549302049.924","","","","P.E VIENTOS DE MIRAMAR","","","71409266.49"
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD","Vientos del Volcán S.A.","2025","Enero     ","1451674.46","3767044.41","3375000.01","","","","","523.29","92297079.1","239507687.511","214581605.625","","","","","","546386372.236","","","","P.E VIENTOS DE LA PERLA","","","71030228.391"
